rate_date	cbn_rate	black_market_rate	rate_gap	gap_percentage
2022-03-10	415.8400	571.4290	155.59	37.42
2022-03-11	415.8000	571.4290	155.63	37.43
2022-03-14	415.9500	571.4290	155.48	37.38
2022-03-15	415.9200	572.4290	156.51	37.63
2022-03-16	415.9200	573.4100	157.49	37.87
2022-03-17	415.9200	574.3940	158.47	38.10
2022-03-18	415.8900	574.3940	158.50	38.11
2022-03-21	415.8200	573.4100	157.59	37.90
2022-03-22	415.7500	573.4100	157.66	37.92
2022-03-23	415.7500	573.4100	157.66	37.92
2022-03-24	415.7500	573.4100	157.66	37.92
2022-03-25	415.7300	573.4100	157.68	37.93
2022-03-28	415.7500	573.4100	157.66	37.92
2022-03-29	415.7200	573.4100	157.69	37.93
2022-03-29	415.7500	573.4100	157.66	37.92
2022-03-30	415.7500	573.4100	157.66	37.92
2022-04-01	415.7200	573.4100	157.69	37.93
2022-04-04	415.7200	573.4100	157.69	37.93
2022-04-06	415.6500	577.3690	161.72	38.91
2022-04-07	415.6500	577.3690	161.72	38.91
2022-04-08	415.6200	577.3690	161.75	38.92
2022-04-12	415.0800	577.3690	162.29	39.10
2022-04-13	415.0300	577.3690	162.34	39.12
2022-04-14	415.0000	577.3690	162.37	39.13
2022-04-19	415.5000	577.3690	161.87	38.96
2022-04-20	415.5800	577.3690	161.79	38.93
2022-04-21	415.5800	577.3690	161.79	38.93
2022-04-22	415.0800	577.3690	162.29	39.10
2022-04-25	415.4800	577.3690	161.89	38.96
2022-04-26	415.4200	577.3690	161.95	38.98
2022-04-27	415.3300	577.3690	162.04	39.01
2022-04-28	415.2600	577.3690	162.11	39.04
2022-04-29	415.1900	577.3690	162.18	39.06
2022-05-04	415.1200	581.3830	166.26	40.05
2022-05-05	415.1900	582.3950	167.21	40.27
2022-05-06	415.3000	583.4110	168.11	40.48
2022-05-09	414.8300	583.4110	168.58	40.64
2022-05-11	414.8300	587.1660	172.34	41.54
2022-05-12	414.7600	590.2750	175.52	42.32
2022-05-13	414.7400	590.2750	175.54	42.32
2022-05-16	415.2500	590.2750	175.03	42.15
2022-05-17	415.1800	590.2750	175.10	42.17
2022-05-18	415.1200	590.2750	175.16	42.19
2022-05-19	415.1200	590.2750	175.16	42.19
2022-05-20	415.0800	590.2750	175.20	42.21
2022-05-23	415.1800	594.1200	178.94	43.10
2022-05-24	415.1800	595.5300	180.35	43.44
2022-05-25	415.2200	595.5300	180.31	43.43
2022-05-26	415.2200	595.5300	180.31	43.43
2022-05-27	415.1300	595.5300	180.40	43.46
2022-05-30	415.0700	599.0860	184.02	44.33
2022-05-31	415.1500	599.0860	183.94	44.31
2022-06-01	415.0800	599.0860	184.01	44.33
2022-06-02	415.1200	594.1200	179.00	43.12
2022-06-03	414.6300	594.1200	179.49	43.29
2022-06-06	415.1300	594.1200	178.99	43.12
2022-06-07	415.1300	594.1200	178.99	43.12
2022-06-08	415.1300	594.1200	178.99	43.12
2022-06-09	415.1300	594.1200	178.99	43.12
2022-06-14	415.2200	594.1200	178.90	43.09
2022-06-15	414.7900	596.5930	181.80	43.83
2022-06-16	415.3700	599.0860	183.72	44.23
2022-06-17	415.3200	599.0860	183.77	44.25
2022-06-20	415.2500	599.0860	183.84	44.27
2022-06-21	415.1500	599.0860	183.94	44.31
2022-06-22	415.0900	599.0860	184.00	44.33
2022-06-23	414.9900	599.0860	184.10	44.36
2022-06-24	415.0000	599.0860	184.09	44.36
2022-06-27	414.6400	599.0860	184.45	44.48
2022-06-28	414.6000	599.0860	184.49	44.50
2022-06-29	414.7700	607.0610	192.29	46.36
2022-06-30	414.7200	607.0610	192.34	46.38
2022-07-01	414.8600	607.0610	192.20	46.33
2022-07-04	414.8000	607.0610	192.26	46.35
2022-07-05	414.8300	607.0610	192.23	46.34
2022-07-06	414.7600	607.0610	192.30	46.36
2022-07-07	414.8300	607.0610	192.23	46.34
2022-07-08	414.7100	607.0610	192.35	46.38
2022-07-13	414.8300	607.0610	192.23	46.34
2022-07-14	414.9000	607.0610	192.16	46.32
2022-07-15	414.9200	607.0610	192.14	46.31
2022-07-18	415.0500	608.9030	193.85	46.71
2022-07-19	414.8500	608.9030	194.05	46.78
2022-07-20	415.2500	618.6650	203.42	48.99
2022-07-21	415.2200	623.6650	208.45	50.20
2022-07-22	415.2500	635.9210	220.67	53.14
2022-07-25	415.2900	652.0420	236.75	57.01
2022-07-26	415.6400	652.0420	236.40	56.88
2022-07-27	415.4600	652.0420	236.58	56.94
2022-07-28	415.8700	676.2190	260.35	62.60
2022-07-29	415.6800	676.2190	260.54	62.68
2022-08-01	416.4000	681.7350	265.34	63.72
2022-08-02	416.6900	684.5270	267.84	64.28
2022-08-03	416.9800	652.4660	235.49	56.47
2022-08-04	417.5700	652.4660	234.90	56.25
2022-08-05	417.9700	637.1320	219.16	52.43
2022-08-08	417.9700	652.0420	234.07	56.00
2022-08-09	418.6900	658.8950	240.21	57.37
2022-08-10	418.8700	658.8950	240.03	57.30
2022-08-11	419.2200	666.7790	247.56	59.05
2022-08-12	419.3900	666.7790	247.39	58.99
2022-08-16	419.9600	673.9480	253.99	60.48
2022-08-17	420.3300	669.8960	249.57	59.37
2022-08-18	420.3300	669.8960	249.57	59.37
2022-08-19	420.9000	673.4950	252.60	60.01
2022-08-22	421.2100	676.2190	255.01	60.54
2022-08-24	421.8900	683.1280	261.24	61.92
2022-08-25	422.2000	677.5900	255.39	60.49
2022-08-26	422.5100	689.2310	266.72	63.13
2022-08-29	422.8800	689.2310	266.35	62.99
2022-08-30	422.3800	689.2310	266.85	63.18
2022-08-31	423.4800	689.2310	265.75	62.75
2022-09-01	423.9200	689.2310	265.31	62.59
2022-09-02	424.5500	689.2310	264.68	62.34
2022-09-05	425.7800	689.2310	263.45	61.87
2022-09-06	426.1100	691.1310	265.02	62.20
2022-09-07	426.9300	691.1310	264.20	61.88
2022-09-08	427.2600	693.0420	265.78	62.21
2022-09-09	427.6000	693.0420	265.44	62.08
2022-09-12	428.0100	693.0420	265.03	61.92
2022-09-13	428.3100	693.0420	264.73	61.81
2022-09-14	428.6100	693.0420	264.43	61.70
2022-09-15	428.8800	695.4440	266.56	62.15
2022-09-16	429.1800	695.4440	266.26	62.04
2022-09-19	429.5100	696.8940	267.38	62.25
2022-09-20	429.8700	696.8940	267.02	62.12
2022-09-21	430.2100	698.8370	268.63	62.44
2022-09-22	430.5900	701.7710	271.18	62.98
2022-09-23	430.9900	707.2150	276.23	64.09
2022-09-26	431.3300	707.2150	275.89	63.96
2022-09-27	431.6900	711.7320	280.04	64.87
2022-09-28	432.0400	720.9420	288.90	66.87
2022-09-29	432.3700	720.9420	288.57	66.74
2022-10-04	433.0400	705.7220	272.68	62.97
2022-10-05	433.4000	723.5430	290.14	66.95
2022-10-06	433.7200	723.5430	289.82	66.82
2022-10-07	434.2800	716.8200	282.54	65.06
2022-10-11	434.7700	716.8200	282.05	64.87
2022-10-12	435.2000	716.8200	281.62	64.71
2022-10-13	435.5600	721.4610	285.90	65.64
2022-10-17	436.3500	725.6380	289.29	66.30
2022-10-18	436.4800	731.4600	294.98	67.58
2022-10-19	436.6100	731.4600	294.85	67.53
2022-10-20	436.7800	733.6010	296.82	67.96
2022-10-21	437.0000	736.2940	299.29	68.49
2022-10-24	437.1800	741.1920	304.01	69.54
2022-10-25	437.1800	752.8800	315.70	72.21
2022-10-26	437.6600	752.8800	315.22	72.02
2022-10-27	438.0000	756.8580	318.86	72.80
2022-10-28	438.3500	764.3590	326.01	74.37
2022-10-31	438.5200	784.6990	346.18	78.94
2022-11-01	438.8700	794.0210	355.15	80.92
2022-11-02	439.1700	816.6610	377.49	85.96
2022-11-03	439.3800	848.4580	409.08	93.10
2022-11-04	439.7600	868.3030	428.54	97.45
2022-11-07	440.0300	872.8400	432.81	98.36
2022-11-08	440.2900	850.6180	410.33	93.19
2022-11-09	440.6300	817.9930	377.36	85.64
2022-11-10	440.9600	808.7540	367.79	83.41
2022-11-11	441.3300	715.2860	273.96	62.08
2022-11-14	441.6900	769.0490	327.36	74.12
2022-11-15	442.0200	766.1110	324.09	73.32
2022-11-16	442.3500	782.8610	340.51	76.98
2022-11-17	442.6600	776.1940	333.53	75.35
2022-11-18	442.9900	761.4560	318.47	71.89
2022-11-21	443.1300	761.4560	318.33	71.84
2022-11-22	443.2600	776.1940	332.93	75.11
2022-11-23	443.4300	747.2690	303.84	68.52
2022-11-24	443.7400	770.8230	327.08	73.71
2022-11-25	443.8700	768.4600	324.59	73.13
2022-11-28	444.0300	773.2010	329.17	74.13
2022-11-29	444.1700	773.2010	329.03	74.08
