year	gdp_growth	inflation_rate	unemployment_rate	economic_phase
1962	4.10	5.27	NULL	Moderate Growth
1963	8.58	-2.69	NULL	Strong Growth
1964	4.95	0.86	NULL	Moderate Growth
1965	4.89	4.10	NULL	Moderate Growth
1966	-4.25	9.69	NULL	Recession
1967	-15.74	-3.73	NULL	Recession
1968	-1.25	-0.48	NULL	Recession
1969	24.20	10.16	NULL	Strong Growth
1970	25.01	13.76	NULL	Strong Growth
1971	14.24	16.00	NULL	Strong Growth
1972	3.36	3.46	NULL	Moderate Growth
1973	5.39	5.40	NULL	Strong Growth
1974	11.16	12.67	NULL	Strong Growth
1975	-5.23	33.96	NULL	Recession
1976	9.04	24.30	NULL	Strong Growth
1977	6.02	15.09	NULL	Strong Growth
1978	-5.76	21.71	NULL	Recession
1979	6.76	11.71	NULL	Strong Growth
1980	4.20	9.97	NULL	Moderate Growth
1981	-13.13	20.81	NULL	Recession
1982	-6.80	7.70	NULL	Recession
1983	-10.92	23.21	2.08	Recession
1984	-1.12	17.82	NULL	Recession
1985	5.91	7.44	NULL	Strong Growth
1986	0.06	5.72	3.95	Slow Growth
1987	3.20	11.29	NULL	Moderate Growth
1988	7.33	54.51	NULL	Strong Growth
1989	1.92	50.47	NULL	Slow Growth
1990	11.78	7.36	NULL	Strong Growth
1991	0.36	13.01	NULL	Slow Growth
1992	4.63	44.59	NULL	Moderate Growth
1993	-2.04	57.17	NULL	Recession
1994	-1.81	57.03	NULL	Recession
1995	-0.07	72.84	NULL	Recession
1996	4.20	29.27	NULL	Moderate Growth
1997	2.94	8.53	NULL	Moderate Growth
1998	2.58	10.00	NULL	Moderate Growth
1999	0.58	6.62	NULL	Slow Growth
2000	5.02	6.93	NULL	Strong Growth
2001	5.92	18.87	NULL	Strong Growth
2002	15.33	12.88	NULL	Strong Growth
2003	7.35	14.03	NULL	Strong Growth
2004	9.25	15.00	NULL	Strong Growth
2005	6.44	17.86	NULL	Strong Growth
2006	6.06	8.23	NULL	Strong Growth
2007	6.59	5.39	NULL	Strong Growth
2008	6.76	11.58	NULL	Strong Growth
2009	8.04	12.54	NULL	Strong Growth
2010	8.01	13.74	NULL	Strong Growth
2011	5.31	10.83	3.77	Strong Growth
2012	4.23	12.22	NULL	Moderate Growth
2013	6.67	8.50	3.71	Strong Growth
2014	6.31	8.05	4.56	Strong Growth
2015	2.65	9.01	4.31	Moderate Growth
2016	-1.62	15.70	7.06	Recession
2017	0.81	16.50	8.39	Slow Growth
2018	1.92	12.10	NULL	Slow Growth
2019	2.21	11.40	4.45	Moderate Growth
2020	-6.37	13.25	NULL	Recession
2021	1.11	16.95	NULL	Slow Growth
2022	4.32	18.85	3.83	Moderate Growth
2023	3.33	24.66	3.07	Moderate Growth
2024	4.06	33.24	3.45	Moderate Growth
